series,boat,sail_no,alt_sail_no,helm,club,class,hph_rating,irc_rating,scratch_rating
Offshore,The Big Picture,1840,703,Michael & Richard Evans,HYC,Class 1,1.090,1.042,
Offshore,Jawesome III,260,,Jeremy Beshoff,HYC,Class 2,0.962,0.944,
Offshore,No Excuse,1972,,"Wormald, Walsh & O'Neill",HYC,Class 2,0.940,0.917,
Offshore,Insider,4444,,Stephen Mullaney,HYC,Class 3,0.959,0.903,
Offshore,Indian,1543,,Simon Knowles,HYC,Class 1,1.020,1.001,
Offshore,Ghost Raider,985,,Norbert Reilly,HYC,Class 2,0.982,0.944,
Offshore,Mojo,1551,,Pat O'Neill,HYC,Class 2,0.991,0.952,
Offshore,Impetuous,2507,,Noonan & Chambers,HYC,Class 2,0.940,0.921,
Offshore,Jeneral Lee,6697,,Colin & Kathy Kavanagh,HYC,Class 1,0.982,0.968,
Offshore,Maximus,7495,,Paddy Kyne,HYC,Class 2,0.945,0.920,
Offshore,Kilcullen,680,,HYC K25,HYC,Class 3,0.885,0.876,
Offshore,Lambay Rules,9970,,Stephen Quinn,HYC,Class 1,0.980,0.966,
Offshore,Symmetry,7797,,Anton Korshunov,HYC,Class 3,0.940,0.908,
Offshore,Pepsi,633,,Doug Anderson & Mark Tattersall,HYC,Non Spin Class 5,0.915,,
Offshore,Mary Ellen,1430,,Kevin O'Byrne,HYC,Non Spin Class 5,0.940,,
Offshore,Out and About,2070,,Terry McCoy,HYC / SSC,Non Spin Class 4,0.916,0.907,
Offshore,Joker's Wild,8151,,"Flood, Greene & MacQuarrie",HYC,Non Spin Class 5,0.942,,
Offshore,Bandersnatch of Howth,2848,,Kyran o Grady,WSC,Non Spin Class 5,0.920,,
Offshore,Gecko,7115,,Kevin Darmody,HYC,Class 3,0.920,0.896,
Offshore,Alchemy,3154,,Russell Camier,MYC,Non Spin Class 4,0.940,,
Offshore,Toughnut,1411,,Dermot Skehan,HYC,Non Spin Class 4,0.980,0.913,
Offshore,Leeuwin,971,,Eamonn Burke & Jason Murray,HYC,Non Spin Class 5,0.930,,
Offshore,Splashdance,4073,,John Beckett & Andy George,HYC,Non Spin Class 4,1.046,0.989,
Offshore,Timballoo,1603,,Lundy & Dunne,HYC / MYC,Non Spin Class 5,0.870,,
Offshore,Mata,2794,,Wright & De Neve,HYC,Class 2,0.993,0.942,
Offshore,Amuse II,1766,,Jenny and Niall O'Leary,HYC,Non Spin Class 4,0.990,1.010,
Offshore,Lazy Bones,158,,Patrick & Neil Higginbotham,MYC,Class 3,0.875,,
Offshore,Shenanigans,791,,Lee Douglas & Aidan Keane,MYC,Class 3,0.845,,
Offshore,Pepperbox,4123,,Cormac Farrelly,HYC,Class 2,0.910,0.919,
Offshore,Alliance II,8188,,Vincent Gaffney,HYC,Class 3,0.925,0.891,
Offshore,Chinook,17793,,Brian Skehan,HYC,Class 2,0.900,0.937,
Offshore,Johnny Bravo,4115,,Chris Shackleton,MYC,Class 3,0.902,,
Offshore,Storm,1141,,Pat Kelly,RSC / HYC,Class 1,1.041,1.004,
Offshore,Demelza,100,,Windsor & Steffi,HYC,Non Spin Class 5,0.952,,
Offshore,White Pearl,33301,,David Greene,MYC,Non Spin Class 4,0.950,0.935,
Offshore,Spellbound,8571,,G Burrows & L Skeffington,HYC,Non Spin Class 4,0.980,0.972,
Offshore,HYC J80,571,,Mandy Bishop,HYC,Class 2,0.952,,
Offshore,Dux Eile (HYC J80),7693,,Team Dux Eile,HYC,Class 2,0.979,,
Offshore,Battling J,4191,,MYC J24 Race Team,MYC,Class 3,0.898,,
Offshore,Phixius,11311,,"Ray, Costello, McShera & Quigley",HYC,Non Spin Class 5,0.870,,
Offshore,Changling,8331,,Kieran Jameson,HYC,Non Spin Class 4,0.971,,
Offshore,Helm's Deep,3337,,Paul Harrison,HYC,Non Spin Class 4,0.928,,
Offshore,Elder Lemon,2888,,Robert Dix,HYC,Class 2,1.020,,
