sail_no,name,club,nat,fleet,division,gender,age
1594,Alphonsus Hetherington,RSTGYC,IRL,Junior Main,Silver,M,12
6688,Attracta Brosnahan,HISC,GBR,Junior Main,Gold,F,12
1617,Aloysius Arkwright,RSTGYC / LDYC,IRL,Junior Main,Silver,M,11
1390,Almha Fogarty,NYC / BSC,IRL,Junior Main,Silver,F,12
1694,Augustine Fogarty,MYC / RSTGYC / HYC,IRL,Junior Main,Gold,M,12
1211,Ambrose Hobson,Q-Kids,BEL,Junior Main,Gold,M,11
3170,Aindrias Donnelly,NYC / CVSQ,FRA,Junior Main,Gold,M,12
1576,Bertram Cribb,TBSC,IRL,Junior Main,Bronze,M,11
1452,Bartholomew Henchion,RCYC / MBSC,IRL,Junior Main,Bronze,M,10
6393,Ciaran Ruttledge,ASYC,GBR,Junior Main,Gold,M,11
945,Creidne Devereaux,LRYC,IRL,Junior Main,Bronze,F,10
1527,Cliodhna Shufflebottom,MBSC,IRL,Junior Main,Bronze,F,12
1640,Cecily Wainwright,NYC,IRL,Junior Main,Silver,F,12
6632,Cecily Dinneen,PYC,GBR,Junior Main,Gold,F,10
6522,Clothra Moriarty,PSC,GBR,Junior Main,Gold,F,12
6672,Cora Donnelly,PYC,GBR,Junior Main,Gold,F,12
754,Cornelius Fitzmaurice,RCYC,IRL,Junior Main,Bronze,M,11
5916,Creidne Jermyn,StMLSC,GBR,Junior Main,Gold,F,12
1689,Donnchadha Crotty,SDC / HYC,IRL,Junior Main,Bronze,M,12
1577,Donnchadha Brennan,GBSC,IRL,Junior Main,Bronze,M,12
1521,Dudley Fogarty,RSTGYC,IRL,Junior Main,Bronze,M,11
1686,Dudley O'Riordan,RCYC,IRL,Junior Main,Gold,M,12
1605,Ethelbert Drummond,LRYC,IRL,Junior Main,Bronze,M,12
6609,Ethel Molloy,PYC,GBR,Junior Main,Gold,F,12
1090,Ethel MacCormack,GBSC,IRL,Junior Main,Bronze,F,12
1501,Ernest Tattersall,RCYC,IRL,Junior Main,Bronze,M,12
6346,Fionnuala Kilpatrick,HISC,GBR,Junior Main,Gold,F,12
6546,Flannan Pemberton,HISC,GBR,Junior Main,Gold,M,11
1258,Fergus Moriarty,LRYC,IRL,Junior Main,Bronze,M,12
1607,Gormlaith Waterhouse,NYC,IRL,Junior Main,Bronze,F,10
1693,Giolla Cribb,RCYC / BSC / MBSC,IRL,Junior Main,Gold,M,12
1536,Gertrude Donnelly,WHSC,IRL,Junior Main,Bronze,F,12
6574,Harold Pickwick,ASYC,GBR,Junior Main,Gold,M,12
1685,Harold Jermyn,WHSC,IRL,Junior Main,Gold,M,12
6623,Harold Tattersall,CBYC,GBR,Junior Main,Gold,M,11
1570,Ignatius Fitzmaurice,NYC / BSC,IRL,Junior Main,Silver,M,12
1651,Jerome Rushworth,MBSC / RCYC,IRL,Junior Main,Silver,M,11
6489,Jerome Ruttledge,RHYC,GBR,Junior Main,Gold,M,12
1214,Jerome Naughton,RCYC,IRL,Junior Main,Bronze,M,12
646,Jerome Waterhouse,WHSC,IRL,Junior Main,Bronze,M,11
1692,Josephine Whittle,RSTGYC,IRL,Junior Main,Gold,F,12
6567,Josephine Fitzmaurice,LTSC,GBR,Junior Main,Gold,F,12
1463,Jasper Kickham,RCYC,IRL,Junior Main,Silver,M,12
2897,Jocasta Drummond,NYC / CVSQ,FRA,Junior Main,Gold,F,10
1627,Keane Lydican,RSTGYC,IRL,Junior Main,Silver,M,12
1586,Kitty Donnelly,RSTGYC / LDYC,IRL,Junior Main,Bronze,F,10
1680,Keavy Waterhouse,RSTGYC,IRL,Junior Main,Bronze,F,10
6565,Konrad Makepeace,PYC,GBR,Junior Main,Gold,M,11
1600,Lancelot Shufflebottom,RSTGYC,IRL,Junior Main,Silver,M,11
2407,Luiseach Makepeace,CVSQ,FRA,Junior Main,Gold,F,11
1671,Lughaidh Tyrrell,RSTGYC,IRL,Junior Main,Gold,M,12
1660,Lancelot O'Dwyer,RCYC,IRL,Junior Main,Bronze,M,11
6689,Lilian Gildea,RSYC,GBR,Junior Main,Gold,F,12
6060,Maighread MacCormack,LTSC,GBR,Junior Main,Gold,F,12
1623,Murchadh Kickham,RSTGYC,IRL,Junior Main,Bronze,M,12
878,Muiris Devereaux,SSC,IRL,Junior Main,Bronze,M,11
1606,Malachy Makepeace,LRYC,IRL,Junior Main,Silver,M,12
1153,Norbert Cribb,MYC,IRL,Junior Main,Bronze,M,11
1175,Osbert Callaghan,SLYC,IRL,Junior Main,Bronze,M,12
1557,Oswald Gallagher,SLYC,IRL,Junior Main,Silver,M,11
1405,Oengus Kickham,MBSC,IRL,Junior Main,Bronze,M,12
1687,Oengus Riordan,RSTGYC / MYC / HYC,IRL,Junior Main,Gold,M,12
1509,Oswald Callaghan,RCYC,IRL,Junior Main,Silver,M,12
1391,Oswald Ramsbottom,WHSC,IRL,Junior Main,Gold,M,12
6658,Osbert Sarsfield,BSC,GBR,Junior Main,Gold,M,12
1380,Rupert Fitzmaurice,LRYC,IRL,Junior Main,Bronze,M,11
1191,Rupert Toomey,LDYC / RSGYC,IRL,Junior Main,Bronze,M,10
1514,Rupert MacCormack,RSTGYC,IRL,Junior Main,Bronze,M,10
985,Ragnall Brosnahan,SDC / HYC,IRL,Junior Main,Bronze,M,11
6269,Roderick Hetherington,ASYC,GBR,Junior Main,Gold,M,12
1297,Siobhan Sarsfield,GBSC,IRL,Junior Main,Bronze,F,12
1599,Scathach Bulkeley,RCYC / MBSC,IRL,Junior Main,Silver,F,12
1667,Sive Molloy,WHSC,IRL,Junior Main,Silver,F,12
6664,Seamus Villiers,DR,GBR,Junior Main,Gold,M,12
1575,Siobhan Ramsbottom,RSTGYC,IRL,Junior Main,Silver,F,12
1609,Tadhg Cribb,RSTGYC,IRL,Junior Main,Bronze,M,11
6275,Tadhg Featherstone,ESC,GBR,Junior Main,Gold,M,11
552,Turlough Kickham,KYC / RCYC,IRL,Junior Main,Silver,M,12
6517,Turlough Makepeace,CBYC,GBR,Junior Main,Gold,M,12
667,Walter MacCormack,RCYC / ISC,IRL,Junior Main,Bronze,M,10
6494,Zelda Gildea,RLYMYC / NSC,GBR,Junior Main,Gold,F,12
1670,Zelda O'Toole,RSTGYC,IRL,Junior Main,Silver,F,12
1525,Zelda Ramsbottom,RSTGYC,IRL,Junior Main,Bronze,F,11
1626,Almha O'Dwyer,RCYC,IRL,Senior Main,Gold,F,14
1668,Afric Waterhouse,RCYC / WHSC,IRL,Senior Main,Gold,F,14
1622,Algernon Wainwright,WHSC,IRL,Senior Main,Bronze,M,13
1579,Aednat Wolstenholme,SLYC,IRL,Senior Main,Silver,F,14
1489,Agnes Throgmorton,RCYC,IRL,Senior Main,Bronze,F,14
1659,Almha MacCormack,RCYC / ISC,IRL,Senior Main,Gold,F,15
1666,Aoibheann Molloy,RSTGYC,IRL,Senior Main,Gold,F,13
1648,Brendan Shaughnessy,RSTGYC,IRL,Senior Main,Bronze,M,13
1650,Breasal Hawthorn,RCYC,IRL,Senior Main,Gold,M,13
1492,Cliodhna Merriman,HYC,IRL,Senior Main,Bronze,F,14
1662,Cormac Fetherstonhaugh,RSTGYC,IRL,Senior Main,Gold,M,13
1462,Caoimhe Moriarty,RCYC / ISC,IRL,Senior Main,Gold,F,13
1383,Domhnall Hawthorn,NYC,IRL,Senior Main,Bronze,M,14
1513,Eabha Braithwaite,RSTGYC,IRL,Senior Main,Gold,F,13
1537,Eoghan Fogarty,GBSC,IRL,Senior Main,Silver,M,13
1675,Ethel Drummond,RSTGYC / LDYC,IRL,Senior Main,Gold,F,14
1673,Eamonn Pickwick,RCYC,IRL,Senior Main,Gold,M,14
1646,Ernest Molloy,RCYC / WHSC,IRL,Senior Main,Silver,M,15
1681,Flann Connolly,RSTGYC,IRL,Senior Main,Gold,M,13
6282,Fachtna Ramsbottom,ASYC,GBR,Senior Main,Gold,M,13
6617,Flannan Blackwood,HISC,GBR,Senior Main,Gold,M,13
6591,Harold Jenkinson,StMLSC,GBR,Senior Main,Gold,M,13
1641,Harriet Crotty,RSTGYC,IRL,Senior Main,Gold,F,14
1677,Iarlaith Villiers,RCYC,IRL,Senior Main,Gold,M,13
6407,Irene Cholmondeley,WHSC,GBR,Senior Main,Bronze,F,14
3077,Jerome Dinneen,CVSQ,FRA,Senior Main,Gold,M,14
1216,Josiah Makepeace,GBSC,IRL,Senior Main,Bronze,M,14
1691,Jerome Blackwood,KYC / RCYC,IRL,Senior Main,Silver,M,13
1552,Jerome Keohane,KYC / RCYC,IRL,Senior Main,Silver,M,13
1268,Jasper Hobson,Q-Kids,BEL,Senior Main,Gold,M,14
1632,Kitty Braithwaite,LRYC,IRL,Senior Main,Bronze,F,14
163,Keavy Kilpatrick,LDYC,IRL,Senior Main,Gold,F,14
1678,Kitty Smedley,RSTGYC / HYC,IRL,Senior Main,Gold,F,15
1613,Lilian Sarsfield,RCYC / WHSC,IRL,Senior Main,Gold,F,13
1663,Lasairfhiona Devereaux,RSTGYC / LDYC,IRL,Senior Main,Gold,F,15
2966,Laurence Hobson,LRYC / CVSQ,FRA,Senior Main,Gold,M,13
1595,Lilian Rushworth,WHSC,IRL,Senior Main,Bronze,F,13
1588,Lasairfhiona MacCormack,RSTGYC,IRL,Senior Main,Bronze,F,14
1674,Maighread Dinneen,RSTGYC / LDYC,IRL,Senior Main,Gold,F,14
1582,Murchadh O'Malley,MBSC / RCYC,IRL,Senior Main,Silver,M,13
1649,Mortimer Henchion,NYC,IRL,Senior Main,Silver,M,14
1602,Peig Dinneen,EABC,IRL,Senior Main,Bronze,F,13
1688,Peig Aherne,RSTGYC / LDYC,IRL,Senior Main,Bronze,F,13
