sail_no,name,club,nat,fleet,division,gender,age
1153,Alphonsus Connolly,MYC,IRL,Regatta Coached,,M,8
1566,Aine O'Toole,KYC,IRL,Regatta Coached,,F,10
1283,Almha Hobson,RSTGYC,IRL,Regatta Coached,,F,7
1097,Aine Fetherstonhaugh,RSTGYC,IRL,Regatta Coached,,F,9
1243,Brid O'Riordan,MBSC,IRL,Regatta Coached,,F,10
575,Barnabas Moriarty,PSC,IRL,Regatta Coached,,M,9
1583,Cecil Keohane,LRYC,IRL,Regatta Coached,,M,10
1495,Clothra Makepeace,WHSC,IRL,Regatta Coached,,F,10
957,Cormac Sarsfield,HYC,IRL,Regatta Coached,,M,10
1004,Dudley Ruttledge,WHSC,IRL,Regatta Coached,,M,11
347,Dudley Fitzmaurice,NYC,IRL,Regatta Coached,,M,10
950,Edith Blackwood,RCYC / MBSC,IRL,Regatta Coached,,F,8
1564,Harold Whittle,WHSC,IRL,Regatta Coached,,M,9
902,Heloise Makepeace,SDC / HYC,IRL,Regatta Coached,,F,9
5307,Jerome Shaughnessy,MBSC,GBR,Regatta Coached,,M,10
1548,Josiah Featherstone,DSC / LRYC,IRL,Regatta Coached,,M,10
1433,Josephine Hobson,NYC,IRL,Regatta Coached,,F,10
943,Lilian Keohane,LRYC,IRL,Regatta Coached,,F,9
4650,Meadhbh Merriman,PYC,GBR,Regatta Coached,,F,7
1532,Mortimer Atkinson,RSTGYC / LDYC,IRL,Regatta Coached,,M,7
1647,Moira Hanrahan,NYC,IRL,Regatta Coached,,F,8
297,Rupert Smedley,GBSC,IRL,Regatta Coached,,M,9
1072,Rupert Connolly,RSTGYC,IRL,Regatta Coached,,M,8
407,Suibhne Hetherington,WHSC,IRL,Regatta Coached,,M,9
977,Sibeal Grimshaw,SLYC,IRL,Regatta Coached,,F,7
1148,Tadhg Molloy,LRYC,IRL,Regatta Coached,,M,10
5530,Tadhg Pemberton,ASYC,GBR,Regatta Coached,,M,7
