sail_no,name,club,nat,fleet,division,gender,age
1403,Augustine Brennan,LRYC,IRL,Regatta Racing,,M,10
1418,Attracta Geoghegan,KYC,IRL,Regatta Racing,,F,12
1444,Agnes Shufflebottom,HYC,IRL,Regatta Racing,,F,13
1496,Clarence Kilpatrick,RCYC,IRL,Regatta Racing,,M,11
1484,Ciaran Hetherington,LRYC,IRL,Regatta Racing,,M,12
929,Etain Toomey,LRYC,IRL,Regatta Racing,,F,11
1188,Ethel Fogarty,RSTGYC,IRL,Regatta Racing,,F,11
1549,Etain Kilpatrick,KYC,IRL,Regatta Racing,,F,12
1542,Etain Dinneen,LRYC,IRL,Regatta Racing,,F,10
5237,Ethel Moriarty,LTSC,GBR,Regatta Racing,,F,10
1647,Fergal Hanrahan,NYC,IRL,Regatta Racing,,M,10
528,Harold Shaughnessy,LDYC,IRL,Regatta Racing,,M,10
5190,Hennessy Waterhouse,SLYC,GBR,Regatta Racing,,M,10
1095,Iarlaith Drummond,RCYC,IRL,Regatta Racing,,M,11
906,Josiah MacCormack,RCYC / ISC,IRL,Regatta Racing,,M,9
1079,Jasper Sarsfield,WHSC / RCYC,IRL,Regatta Racing,,M,11
1616,Lilian Hanrahan,RSTGYC,IRL,Regatta Racing,,F,10
6625,Lughaidh Henchion,ASYC,GBR,Regatta Racing,,M,10
1464,Lasairfhiona Shaughnessy,SDC / HYC,IRL,Regatta Racing,,F,10
6313,Luiseach Waterhouse,SLYC,GBR,Regatta Racing,,F,11
1434,Mamie Throgmorton,LRYC,IRL,Regatta Racing,,F,11
1586,Murrough Atkinson,RCYC,IRL,Regatta Racing,,M,12
229,Niall Fogarty,LRYC,IRL,Regatta Racing,,M,12
1022,Norbert Normoyle,RCYC,IRL,Regatta Racing,,M,10
6141,Ornait Crotty,SLYC,GBR,Regatta Racing,,F,12
6355,Orlaith Keohane,HISC,GBR,Regatta Racing,,F,10
570,Quincy Ruttledge,WHSC,IRL,Regatta Racing,,M,10
549,Sidney Shufflebottom,RSTGYC,IRL,Regatta Racing,,M,9
1338,Sibeal Cholmondeley,SLYC,IRL,Regatta Racing,,F,10
6572,Suibhne Ruttledge,RHaYC,GBR,Regatta Racing,,M,10
1502,Wilfrid Aherne,RSTGYC / LDYC,IRL,Regatta Racing,,M,9
1276,Winifred Molloy,SDC / HYC,IRL,Regatta Racing,,F,11
1376,Yusuf Devereaux,RCYC,IRL,Regatta Racing,,M,13
6275,Zacharias Fogarty,ESC,GBR,Regatta Racing,,M,9
